segment,polygon,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
C-I,C-I-1 N,77,0,15,24,9,0,8,11,15,13,12,13,29,41,37,16,39
C-I,C-I-2N,,,,,,,,,,,,,,,,,
C-I,C-I-3 N,,,,,,,,,,,,,,,,,
C-I,C-I-4 N,82,4,46,11,28,0,13,25,16,15,32,16,55,30,45,21,26
C-I,C-I-5 N,,,,,,,,,,,,,,,,,
C-I,C-I-6 N,16,4,7,2,4,0,5,4,3,3,6,0,28,24,18,0,5
C-I,C-I-7 N,13,2,8,12,7,0,4,5,18,2,2,9,14,6,0,0,3
C-I,C-I-8 N,7,0,1,1,4,0,4,1,3,3,2,12,5,1,0,5,1
C-I,C-I-9 N,1,0,2,0,0,0,0,1,0,0,0,1,0,1,6,1,2
C-I,C-I-10 N,1,0,2,,6,0,0,0,0,0,0,5,3,1,12,3,20
C-I,C-I-11 N,,,,,,,,,,,,,,,,,
C-I,C-I-12 N,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C-I,C-1-13 N,,,,,,,,,,,,,,,,,
C-I,C-I-14 N,0,0,1,1,0,0,0,5,3,2,2,8,5,6,4,12,4
C-I,C-I-15 N,,,,1,0,0,0,2,0,0,0,1,0,2,0,5,0
C-I,C-I-16 N,,,,1,0,0,0,0,0,0,0,5,0,4,0,0,0
C-I,C-I-17 N,,,,,,,,,,,,,,,,,
C-I,C-I-18 N,,,,,,,1,1,1,3,1,2,15,0,0,0,2
C-I,C-I-19 N,,,,,,,2,0,4,2,2,1,0,0,0,0,0
C-I,C-I-20 N,,,,,,,,1,0,1,5,4,0,0,0,0,0
C-I,C-I-21 N,,,,,,,,,13,68,16,26,0,0,25,8,11
C-I,C-I-22 N,,,,,,,,,,3,0,2,2,0,0,0,0
C-I,C-I-23 N,,,,,,,,,,,,,,3,0,0,0
C-I,C-I-24 N,,,,,,,,,,,,,,,1,1,5
C-II,C-II-1 S,,,,,,,,,,,,,,,,,
C-II,C-II-2 S,5,1,4,6,1,0,1,5,2,0,2,2,2,27,18,0,0
C-II,C-II-3 S,10,2,1,2,0,0,0,4,0,3,0,0,0,3,0,0,0
C-II,C-II-4 S,6,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0
C-II,C-II-5 S,1,1,1,1,0,0,1,3,1,3,0,2,14,3,4,0,4
C-II,C-II-6 S,6,0,0,0,2,0,0,0,0,0,0,1,4,0,2,0,0
C-II,C-II-7 S,8,7,5,5,6,0,4,5,5,0,0,0,14,6,6,2,5
