year,C-I,C-II,C-III,C-IV,C-V,C-VI,C-VII,C-VIII,D-I,D-II,D-III,D-IV,D-V,U-I,U-II
1989,1210,147,607,190,81,173,,,207,461,561,432,23,84,650
1990,897,59,572,252,128,122,,,377,471,965,355,3,171,680
1991,404,48,200,54,10,40,,,977,405,1016,275,0,429,925
1992,188,67,472,145,58,67,,,1554,525,1055,456,37,727,942
1993,130,82,450,129,77,67,,,1891,1076,1249,415,19,556,947
1994,637,92,906,182,40,160,,,1298,746,1023,786,12,366,1027
1995,1145,63,724,263,41,205,,,1499,1267,239,528,11,855,967
1996,507,26,139,109,48,138,,,1150,627,1072,962,39,284,493
1997,589,67,254,230,31,177,,,1236,1070,2346,1246,28,655,1165
1998,458,37,235,256,124,598,,,1699,1536,2112,1415,47,512,1860
1999,275,36,157,201,31,452,,,2011,969,2092,1479,20,1275,2346
2000,467,40,126,136,6,373,,,1041,767,2145,930,7,290,1348
2001,271,55,163,132,40,217,,,493,918,2422,943,12,704,1097
2002,197,49,143,144,66,223,,,456,788,1606,699,33,260,1076
2003,10,12,73,53,0,92,,,858,533,601,128,11,79,4438
2004,84,13,67,54,15,148,,,1316,853,988,242,23,234,3291
2005,54,19,71,164,14,274,,,1882,953,2828,389,22,235,1397
2006,58,12,19,84,7,189,,,1411,643,875,183,4,234,2456
2007,0,0,4,21,0,13,,,40,14,1417,21,0,1,699
2008,37,6,30,39,0,57,6,,179,61,941,173,6,2,379
2009,56,20,96,49,4,147,5,,1022,232,1115,271,24,20,1460
2010,66,14,29,76,0,154,0,,334,105,327,187,16,339,2070
2011,115,6,39,52,2,192,26,,1551,896,2225,1039,11,1620,4183
2012,80,3,27,22,3,145,18,,3062,1064,923,814,0,626,674
2013,105,6,46,15,4,82,25,,1091,817,667,407,4,132,1932
2014,156,36,100,33,1,148,17,,2253,1497,1627,585,21,372,3388
2015,119,44,46,48,0,158,20,,283,213,363,377,12,346,1380
2016,148,30,21,29,2,137,42,,1136,647,926,767,7,1598,2893
2017,72,8,17,35,2,128,25,,3040,1089,658,972,5,807,1081
2018,118,15,60,33,0,200,32,2,6206,1560,913,638,8,1321,3882
2019,72,5,36,45,0,297,21,1,2346,877,1821,727,12,841,2177
2020,23,2,2,5,1,69,12,0,1686,261,783,189,0,645,1208
