collector,year,creek,segment,rosettes,flowers
BH,2004,Crow,average,3.88,0.72
BH,2004,Diamond,average,4.51,1.4
BH,2004,Unnamed,average,16.93,3.27
BH,2005,Crow,average,1.84,0.66
BH,2005,Diamond,average,7.74,2.72
BH,2005,Unnamed,average,17.98,3.48
SF,1992,Crow,1,88,10
SF,1993,Crow,1,100,19
SF,1994,Crow,1,54,23
SF,1992,Crow,2,75,8
SF,1993,Crow,2,189,4
SF,1994,Crow,2,159,25
SF,1992,Crow,3,51,7
SF,1993,Crow,3,125,8
SF,1994,Crow,3,95,12
SF,1992,Unnamed,4,131,6
SF,1993,Unnamed,4,163,5
SF,1994,Unnamed,4,117,8
SF,1992,Unnamed,5,108,6
SF,1993,Unnamed,5,203,25
SF,1994,Unnamed,5,204,30
SF,1992,Unnamed,6,106,2
SF,1993,Unnamed,6,124,37
SF,1994,Unnamed,6,190,32
SF,1992,Diamond,7,96,18
SF,1993,Diamond,7,71,39
SF,1994,Diamond,7,49,29
SF,1992,Diamond,8,137,14
SF,1993,Diamond,8,220,13
SF,1994,Diamond,8,279,21
SF,1992,Diamond,9,106,5
SF,1993,Diamond,9,232,16
SF,1994,Diamond,9,270,10
DL,2018,Crow,C4,67,14
DL,2018,Crow,C5,68,11
DL,2018,Crow,C8,40,3
DL,2018,Diamond,D10,57,27
DL,2018,Diamond,D11,27,16
DL,2018,Diamond,D7,93,15
DL,2018,Soapstone,S1,27,18
DL,2018,Soapstone,S2,118,14
DL,2018,Soapstone,S3,73,28
DL,2018,Soapstone,S4,12,2
DL,2018,Soapstone,S5,35,15
DL,2018,Soapstone,S6,24,14
DL,2018,Soapstone,S7,4,4
DL,2018,Soapstone,S8,8,3
DL,2018,Soapstone,S9,19,6
DL,2018,Unnamed,U3,279,61
DL,2018,Unnamed,U4,185,19
DL,2018,Unnamed,U6,142,43
BH,2004,Crow,I,15,4
BH,2004,Crow,I,1,1
BH,2004,Crow,I,1,1
BH,2004,Crow,I,3,1
BH,2004,Crow,I,5,3
BH,2004,Crow,I,3,1
BH,2004,Crow,I,3,1
BH,2004,Crow,I,3,1
BH,2004,Crow,I,4,1
BH,2004,Crow,I,0,1
BH,2004,Crow,I,21,2
BH,2004,Crow,I,15,1
BH,2004,Crow,I,25,3
BH,2004,Crow,I,6,1
BH,2004,Crow,I,1,1
BH,2004,Crow,I,0,1
BH,2004,Crow,I,1,2
BH,2004,Crow,I,21,1
BH,2004,Crow,I,1,3
BH,2004,Crow,I,4,1
BH,2004,Crow,II,1,2
BH,2004,Crow,II,5,1
BH,2004,Crow,II,7,2
BH,2004,Crow,II,4,1
BH,2004,Crow,II,4,1
BH,2004,Crow,II,0,1
BH,2004,Crow,III,5,2
BH,2004,Crow,III,20,4
BH,2004,Crow,III,24,1
BH,2004,Crow,III,4,1
BH,2004,Crow,III,9,1
BH,2004,Crow,III,24,2
BH,2004,Crow,III,7,1
BH,2004,Crow,III,4,2
BH,2004,Crow,III,2,1
BH,2004,Crow,III,4,1
BH,2004,Crow,III,5,2
BH,2004,Crow,III,71,12
BH,2004,Crow,III,0,1
BH,2004,Crow,III,0,1
BH,2004,Crow,IV,10,1
BH,2004,Crow,IV,5,1
BH,2004,Crow,IV,14,1
BH,2004,Crow,IV,4,1
BH,2004,Crow,IV,17,1
BH,2004,Crow,IV,7,1
BH,2004,Crow,IV,10,2
BH,2004,Crow,IV,42,5
BH,2004,Crow,IV,5,1
BH,2004,Crow,IV,17,1
BH,2004,Crow,IV,14,1
BH,2004,Crow,IV,5,4
BH,2004,Crow,IV,1,1
BH,2004,Crow,IV,15,6
BH,2004,Crow,IV,1,1
BH,2004,Crow,IV,67,3
