"year","CrowCreek","DiamondCreek","UnnamedCreek","Total","Notes"
1986,2095,3216,565,5876,NA
1987,NA,NA,NA,NA,"no data"
1988,1406,1201,452,3059,"no further data subsets within creeks"
1989,2408,1684,734,4813,NA
1990,2030,2171,851,5052,NA
1991,756,2673,1354,4783,NA
1992,997,3627,1669,6293,NA
1993,935,4650,1503,7088,NA
1994,2017,3865,1393,7275,NA
1995,2441,5664,1822,9927,NA
1996,967,3850,777,5594,NA
1997,1348,5926,1820,9094,NA
1998,1708,6809,2372,10889,NA
1999,1152,6571,3621,11344,NA
2000,1148,4890,1638,7676,NA
2001,878,4788,1801,7467,NA
2002,808,3582,1336,5726,NA
2003,240,2155,4517,6912,NA
2004,381,3416,3525,7322,NA
2005,597,6074,1632,8303,NA
2006,369,3116,2690,6175,NA
2007,38,1492,700,2230,NA
2008,175,1360,381,1916,NA
2009,377,2674,1480,4531,NA
2010,339,969,2409,3717,NA
2011,432,5722,5803,11957,NA
2012,299,5863,1300,7462,NA
2013,283,2986,2064,5333,NA
2014,489,5998,3760,10247,NA
2015,435,1248,1726,3409,NA
2016,409,3485,4491,8385,NA
2017,287,5764,1888,7939,NA
2018,460,9325,5203,14988,NA
2019,477,5783,3018,9278,NA
2020,114,2919,1853,4886,NA
2021,134,3519,4156,7809,NA
2022,207,2062,2754,5023,NA
2023,390,1242,2596,4228,NA
