year,usgs_wateryr,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,flow.ann,flow.wateryear,flow.summer.apr.aug
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72,2.2,2.17,,,
1994,2.64  ,1.91,2.15,5.21,3.95,3.82,1.74,1.6,1.65,2.5,2.5,1.46,1.39,2.49,2.635,2.552
1995,10.7  ,1.48,1.61,1.6,1.95,9.65,73.3,26.7,3.78,3.03,5.8,10.9,9.07,12.40583333,10.70416667,23.076
1996,8.02  ,8.84,11.2,10.8,17.8,9.06,5.79,2.44,2.75,2.18,2.23,2.77,2.47,6.5275,8.0525,7.568
1997,9.73  ,5.35,7.63,8.64,8.08,8.39,16.8,5.15,30,19.4,26.3,29.7,19.9,15.445,9.7425,13.684
1998,19.7  ,14.8,13,17.5,25.7,46.3,31.3,6.39,3.92,1.07,1.71,6.27,6.92,14.57333333,19.65666667,22.722
1999,37.4  ,9.04,10.3,10,27.3,251.8,90.1,15.7,8.75,7.82,11.4,10.7,10.7,38.63416667,37.1425,78.73
2000,6.89  ,9.21,10.4,12.7,8.62,2.9,0.903,1.43,1.9,1.86,1.7,2.79,2.14,4.71275,6.893583333,3.1506
2001,4.07  ,1.89,2.06,2.94,5.82,12.5,4.2,5.2,4.33,3.13,2.67,2.43,2.47,4.136666667,4.058333333,6.41
2002,2.59  ,3.49,4.55,5.49,3.45,2.74,1.1,0.254,0.864,1.74,1.24,1.61,1.54,2.339,2.604,1.6816
2003,2.03  ,1.89,1.77,3.67,4.23,3.03,3.19,0.91,0.622,0.734,0.802,1.34,1.56,1.979,2.036333333,2.3964
2004,1.32  ,1.42,1.53,1.5,1.58,1.1,1.95,1.01,0.572,1.58,1.68,1.97,2.22,1.509333333,1.328666667,1.2424
2005,2.05  ,1.64,1.53,1.95,1.71,1.84,6.01,2.31,1.21,0.597,1.72,1.34,1.36,1.93475,2.055583333,2.616
2006,1.66  ,1.4,2.23,3.07,2.28,1.72,0.735,2.4,0.94,0.776,0.891,1.22,1.68,1.611833333,1.66425,1.615
2007,1.82  ,1.41,1.76,2.57,2.46,2.88,1.08,1.99,1.83,2.06,1.99,1.59,1.3,1.91,1.81925,2.048
2008,2.78  ,1.41,1.74,4.49,1.93,2.33,2.43,0.644,11,2.38,2.18,2.38,2.07,2.915333333,2.7695,3.6668
2009,4.05  ,1.82,2.2,2.64,5.72,3.45,11.7,11.2,1.81,1.4,2.79,3.06,2.73,4.21,4.0475,6.776
2010,20.5  ,2.34,2.97,11.6,43.7,102.4,59.2,11.1,2.08,1.45,2.07,2.76,2.55,20.35166667,20.45166667,43.696
2011,8.12  ,3.08,5.24,11.3,16.3,24.9,17.2,5.95,4.36,1.74,2.5,2.87,2.34,8.148333333,8.120833333,13.742
2012,2.41  ,2.47,2.8,3.95,2.89,1.62,3.62,2.34,0.62,0.913,1.47,1.32,1.69,2.141916667,2.411083333,2.218
2013,4.35  ,2.23,2.19,2.3,3.37,3.9,1.16,0.936,1.39,30.6,51.7,41.5,20.9,13.51466667,4.379666667,2.1512
2014,29.5  ,21.1,22.9,31.4,35.4,79,30.8,9.25,5.03,3.48,5.32,11.7,13,22.365,29.37166667,31.896
2015,32.8  ,11.9,13.4,14.5,16,147.6,101,47.4,8.55,1.97,7.76,14.9,15.7,33.39,32.695,64.11
2016,40.3  ,16.2,21.6,19.7,40.5,264,65.4,11.4,2.14,1.41,3.64,7.92,10.8,38.72583333,40.05916667,76.688
2017,9.45,10,15.7,16,13.5,19.9,11.3,1.73,1.99,1.41,2.64,2.74,3.6,8.375833333,9.490833333,9.684
2018,NA,7.57,8.35,8.01,7.65,11.4,3.56,NA,NA,NA,NA,NA,NA,7.756666667,6.168888889,7.536666667
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
