"Polygon","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Initials","Segment"
"C-I-1 N",77,"0",15,"24",9,0,8,11,15,13,12,13,29,41,37,16,39,18,2,11,18,20,"DT","C1"
"C-I-2N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1"
"C-I-3 N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1"
"C-I-4 N",82,"4",46,"11",28,0,13,25,16,15,32,16,55,30,45,21,26,27,5,3,7,11,"DT","C1"
"C-I-5 N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1"
"C-I-6 N",16,"4",7,"2",4,0,5,4,3,3,6,0,28,24,18,0,5,2,0,2,0,0,"BH","C1"
"C-I-7 N",13,"2",8,"12",7,0,4,5,18,2,2,9,14,6,0,0,3,1,0,0,0,0,"BH","C1"
"C-I-8 N",7,"0",1,"1",4,0,4,1,3,3,2,12,5,1,0,5,1,4,1,0,0,4,"BH","C1"
"C-I-9 N",1,"0",2,"0",0,0,0,1,0,0,0,1,0,1,6,1,2,0,0,0,0,0,"BH","C1"
"C-I-10 N",1,"0",2,NA,6,0,0,0,0,0,0,5,3,1,12,3,20,12,1,0,2,8,"DT","C1"
"C-I-11 N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BH","C1"
"C-I-12 N",0,"0",2,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"BH","C1"
"C-1-13 N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BH","C1"
"C-I-14 N",0,"0",1,"1",0,0,0,5,3,2,2,8,5,6,4,12,4,4,6,1,0,5,"DT","C1"
"C-I-15 N",NA,NA,NA,"1",0,0,0,2,0,0,0,1,0,2,0,5,0,0,0,0,0,2,"BH","C1"
"C-I-16 N",NA,NA,NA,"1",0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,"BH","C1"
"C-I-17 N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"BH","C1"
"C-I-18 N",NA,NA,NA,NA,NA,NA,1,1,1,3,1,2,15,0,0,0,2,0,0,0,0,0,"BH","C1"
"C-I-19 N",NA,NA,NA,NA,NA,NA,2,0,4,2,2,1,0,0,0,0,0,0,0,0,0,0,"DT","C1"
"C-I-20 N",NA,NA,NA,NA,NA,NA,NA,1,0,1,5,4,0,0,0,0,0,0,0,0,0,0,"BH","C1"
"C-I-21 N",NA,NA,NA,NA,NA,NA,NA,NA,13,68,16,26,0,0,25,8,11,2,7,0,0,2,"DT","C1"
"C-I-22 N",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2,2,0,0,0,0,0,0,0,0,0,"BH","C1"
"C-I-23 N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,2,1,0,0,0,"DT","C1"
"C-I-24 N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,0,0,0,0,0,"BH","C1"
"C-II-1 S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"BH","C2"
"C-II-2 S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"BH","C2"
"C-II-3 S",20,"4",7,"8",4,0,1,10,5,3,2,2,4,32,18,0,0,0,2,0,24,42,"BH","C2"
"C-II-4 S",6,"0",0,"5",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"BH","C2"
"C-II-5 S",1,"1",1,"1",0,0,1,3,1,3,0,2,14,3,4,0,4,5,0,0,0,0,"BH","C2"
"C-II-6 S",6,"0",0,"0",2,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,"BH","C2"
"C-II-7 S",8,"7",5,"5",6,0,4,5,5,0,0,0,14,6,6,2,5,0,0,0,0,0,"BH","C2"
