https://wrcc.dri.edu/cgi-bin/cliMAIN.pl?wy1675,,,,"CHEYENNE WSFO AP, WY",,,,,,,,,,
year,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun,snow.ann,
1937-38,0,0,0.1,2.8,7.6,16.2,4.3,3.3,12.9,10,3.6,0,60.8,
1938-39,0,0,0,2.2,7.7,11.7,5.1,12.3,19,20.4,0,0,78.4,
1939-40,0,0,0,2.9,1.2,3.6,18.5,6.9,9.7,9.5,0,0,52.3,
1940-41,0,0,0,1.5,7.6,4.5,4,3.1,12.3,21.9,0,0,54.9,
1941-42,0,0,2,1,7.3,8,11.5,7.4,10.9,22,21.5,0.5,92.1,
1942-43,0,0,4.8,6.3,18.2,4.3,6.6,7,10.7,4,30.4,0,92.3,
1943-44,0,0,0,0.5,4.5,2,6.2,9.2,22,8,1.8,0,54.2,
1944-45,0,0,0,0,6.7,7.3,10.2,10.1,11.4,26.2,0,0,71.9,
1945-46,0,0,3.1,4.6,5.9,2.8,3.6,5,17.2,1.6,8.6,0,52.4,
1946-47,0,0,0.4,6.6,14,2.1,7.7,8.2,6.2,6.7,6.6,8.7,67.2,
1947-48,0,0,0,3.2,10,8.3,4.7,7.3,4.1,1.6,0,0,39.2,
1948-49,0,0,0,3.6,3.5,12.4,15.1,0.5,20.2,4.6,1,0,60.9,
1949-50,0,0,0,7.2,0,2.3,2.5,1.1,9.3,12.6,12.4,1.4,48.8,
1950-51,0,0,0,0.8,6.4,1.7,9.6,3.9,5.3,5.3,0,0,33,
1951-52,0,0,0,12.2,9.4,8.3,0,8.7,14.5,3.3,0,0,56.4,
1952-53,0,0,0,4.2,10.4,2,3,19.9,5.8,12.9,3.5,0,61.7,
1953-54,0,0,0,1.3,5.4,3.9,2.9,1,22.6,4.9,2,0,44,
1954-55,0,0,2.2,0.5,2.9,3.1,7.1,6,8.8,16.6,0.1,0.5,47.8,
1955-56,0,0,0,0.5,13.7,3.8,8.6,8.1,4,0.7,0.6,0,40,
1956-57,0,0,0,0,13.9,4,7.6,1,10.6,21.8,7.7,0,66.6,
1957-58,0,0,0,0.5,8,1,0.6,6.2,17.8,6.2,0,0,40.3,
1958-59,0,0,0,0,5.3,21.3,7.3,4.3,14.3,14,1.3,0,67.8,
1959-60,0,0,3.7,9.1,3.8,0.4,2.8,8.8,3.7,5.6,0,0,37.9,
1960-61,0,0,0,0,5.8,5.2,1.2,3.8,23.2,7.8,11.5,0,58.5,
1961-62,0,0,0.8,3.6,3.5,1.5,13,10.8,5.5,2.5,0,0,41.2,
