https://wrcc.dri.edu/cgi-bin/cliMAIN.pl?wy1675,,,,,"CHEYENNE WSFO AP, WY",,,,,,,,
year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,temp.ann
1935,NA,NA,NA,NA,NA,NA,NA,NA,57.78,44.69,33.02,29.44,41.23
1936,25.45,20.16,33.18,42.93,55.77,65.23,72.44,68.5,58.3,44.48,35.42,30.5,46.03
1937,12.71,26.48,30.45,40.98,52.85,59.58,69.35,71.11,60.42,48.73,34.02,26.65,44.44
1938,27.42,30.11,36.58,42.53,49.92,61.77,68.02,68.68,60,49.71,31.42,27.42,46.13
1939,28.16,19.14,34.48,42.65,54.45,61.15,71.73,66.15,60.2,49.42,37.88,35.1,46.71
1940,18.84,29.05,37.97,42,53.87,64.78,70.08,67.19,60.12,50.24,32.25,31.48,46.49
1941,30.23,32.07,31.58,40.6,54.32,59.28,67.79,66.52,54.63,44.79,38.23,30.35,45.87
1942,24.61,21.36,32.03,45.57,48.66,58.57,68.92,65.56,55.3,46.27,36.05,31.66,44.55
1943,27.69,33.66,28.4,48.18,47.23,60.17,69.76,69.18,57.48,47.27,36.8,29.71,46.29
1944,27.34,27,27.95,37.77,52.32,59.5,66.42,68.06,57.33,49.58,35.78,27.26,44.69
1945,28.39,27.71,34.61,34.78,50.42,55.2,68.11,66.81,54.32,49.32,37.97,25.79,44.45
1946,28.02,30.04,38.13,48.95,45.94,61.58,68.85,65.79,56.72,43,32.67,34.5,46.18
1947,26.9,23.91,30.87,39.95,49.88,56.42,68.52,68.61,60.65,51.5,28.88,29.71,44.65
1948,24.53,23.91,27.69,44.8,52.74,60.58,67.81,67.45,61.73,46.32,31.27,26.37,44.6
1949,14.1,25.41,32.21,44.63,51.87,59.68,67.95,66.98,57.77,43.63,45.23,27.53,44.75
1950,23.9,33.71,31.34,40.28,46.23,60.15,63.55,64.06,54.92,52.66,35.88,33.48,45.01
1951,22.55,30.79,29.13,37.3,51.16,54.6,66.79,65.02,54.6,43.79,33.42,24.39,42.79
1952,28.88,28.67,27.85,42.72,51.63,65.63,66.81,67.39,60.73,48.4,28.6,29.94,45.6
1953,35.56,27.57,37.11,36.6,47.68,63.32,69.03,66.56,60.83,49.4,38.9,27.74,46.69
1954,33.45,38.82,27.68,46.4,50.65,62.18,71.85,68.23,61.35,47.45,40.15,32.53,48.4
1955,24.85,23.14,29.33,42.8,53.15,58.03,70.6,69.06,58.7,49.5,30.28,31.15,45.05
1956,28.87,22.6,32.98,39.53,54.74,67.2,67.47,64.69,61.03,50.4,31.82,32.65,46.17
1957,20.68,34.82,33.19,36.85,48.05,60.35,69,67.35,55.33,46.9,29.77,35,44.77
1958,29.87,32.93,25.53,38.93,56.85,62.8,64.53,68.66,58.57,49.58,36.23,30.37,46.24
1959,26.29,25.98,31.06,39.27,50.53,65.33,68.21,69.02,55.7,43.32,35.32,33.1,45.26
1960,25.58,19.9,33.35,46.73,55.73,64.4,70.74,68.66,61.15,48.74,35.6,26.82,46.45
1961,28.95,31.79,31.55,40.68,52.76,64.75,69.08,68.05,51.43,44.73,32.25,23.42,44.95
1962,19.17,27.14,29.02,45.57,55.11,59.85,65.6,67.21,58.92,51.02,39.75,31.52,45.82
